city,latitude_deg,longitude_deg,month,season,typical_weather,ghi_kwh_m2_day,clearsky_ghi_kwh_m2_day,cloud_amount_percent,precip_mm_day,temp_C,humidity_percent
Damascus,33.51,36.29,1,winter,rainy,2.78,3.71,56.4,2.22,4.8,76.0
Damascus,33.51,36.29,2,winter,rainy,3.63,4.76,56.8,2.02,6.2,72.4
Damascus,33.51,36.29,3,winter,partly_cloudy,5.17,6.13,49.3,0.94,9.6,64.9
Damascus,33.51,36.29,4,winter,partly_cloudy,6.4,7.35,45.6,0.59,13.7,55.9
Damascus,33.51,36.29,5,summer,partly_cloudy,7.52,8.14,34.9,0.22,18.8,46.1
Damascus,33.51,36.29,6,summer,sunny,8.4,8.6,18.7,0.03,23.5,36.2
Damascus,33.51,36.29,7,summer,sunny,8.19,8.35,17.4,0.01,26.4,33.1
Damascus,33.51,36.29,8,summer,sunny,7.45,7.63,19.5,0.01,26.3,36.2
Damascus,33.51,36.29,9,summer,sunny,6.32,6.52,20.6,0.06,23.3,40.3
Damascus,33.51,36.29,10,summer,partly_cloudy,4.69,5.1,36.2,0.41,18.5,47.0
Damascus,33.51,36.29,11,winter,partly_cloudy,3.37,3.94,45.4,1.15,11.4,60.9
Damascus,33.51,36.29,12,winter,partly_cloudy,2.62,3.37,51.5,1.83,6.9,71.3
Aleppo,36.2,37.13,1,winter,rainy,2.28,3.25,61.3,2.58,6.0,79.3
Aleppo,36.2,37.13,2,winter,rainy,3.11,4.3,60.4,2.34,7.9,77.9
Aleppo,36.2,37.13,3,winter,partly_cloudy,4.57,5.72,53.5,1.42,11.7,73.1
Aleppo,36.2,37.13,4,winter,partly_cloudy,5.85,7.01,50.9,1.02,16.0,67.0
Aleppo,36.2,37.13,5,summer,partly_cloudy,7.0,7.85,37.3,0.67,21.2,60.1
Aleppo,36.2,37.13,6,summer,sunny,8.11,8.38,13.2,0.25,26.2,51.9
Aleppo,36.2,37.13,7,summer,sunny,8.01,8.15,7.6,0.06,29.2,51.5
Aleppo,36.2,37.13,8,summer,sunny,7.17,7.3,9.0,0.14,29.2,55.1
Aleppo,36.2,37.13,9,summer,sunny,5.86,6.1,14.3,0.42,26.0,56.4
Aleppo,36.2,37.13,10,summer,partly_cloudy,4.14,4.62,35.4,0.98,20.6,56.4
Aleppo,36.2,37.13,11,winter,partly_cloudy,2.91,3.5,45.6,1.63,13.0,64.2
Aleppo,36.2,37.13,12,winter,rainy,2.13,2.93,56.3,2.76,7.7,74.0
Latakia,35.52,35.79,1,winter,rainy,2.4,3.26,64.0,4.64,14.0,69.7
Latakia,35.52,35.79,2,winter,rainy,3.35,4.32,61.3,3.65,14.4,70.4
Latakia,35.52,35.79,3,winter,cloudy,4.81,5.71,55.0,1.9,16.0,71.8
Latakia,35.52,35.79,4,winter,partly_cloudy,6.04,6.96,52.7,1.29,18.0,74.5
Latakia,35.52,35.79,5,summer,partly_cloudy,7.19,7.76,39.7,0.78,21.2,76.1
Latakia,35.52,35.79,6,summer,sunny,7.9,8.18,25.2,0.37,24.4,78.3
Latakia,35.52,35.79,7,summer,sunny,7.64,7.9,27.8,0.11,26.7,80.4
Latakia,35.52,35.79,8,summer,sunny,6.88,7.12,28.1,0.23,27.6,79.0
Latakia,35.52,35.79,9,summer,sunny,5.77,6.04,28.6,0.77,26.7,71.7
Latakia,35.52,35.79,10,summer,partly_cloudy,4.23,4.65,42.0,1.53,24.4,64.8
Latakia,35.52,35.79,11,winter,rainy,2.98,3.51,50.9,2.8,19.9,62.8
Latakia,35.52,35.79,12,winter,rainy,2.22,2.94,60.9,4.58,15.9,67.6
Idlib,35.93,36.63,1,winter,rainy,2.26,3.33,67.9,2.58,6.0,79.3
Idlib,35.93,36.63,2,winter,rainy,3.15,4.4,64.5,2.34,7.9,77.9
Idlib,35.93,36.63,3,winter,cloudy,4.57,5.81,58.8,1.42,11.7,73.1
Idlib,35.93,36.63,4,winter,partly_cloudy,5.87,7.08,53.0,1.02,16.0,67.0
Idlib,35.93,36.63,5,summer,partly_cloudy,7.06,7.88,38.8,0.67,21.2,60.1
Idlib,35.93,36.63,6,summer,sunny,7.97,8.34,17.6,0.25,26.2,51.9
Idlib,35.93,36.63,7,summer,sunny,7.81,8.06,12.8,0.06,29.2,51.5
Idlib,35.93,36.63,8,summer,sunny,7.04,7.27,13.5,0.14,29.2,55.1
Idlib,35.93,36.63,9,summer,sunny,5.83,6.17,19.4,0.42,26.0,56.4
